state_id,state_abbr,year,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,arson
1,AK,2020,731158,6126,49,,1132,712,4233,16528,2775,11784,1969,140
1,AK,2020,731158,6126,49,,1132,712,4233,16528,2775,11784,1969,140
5,AZ,2020,7421401,35980,513,,3263,6211,25993,165323,24488,122898,17937,1279
3,AR,2020,3030522,20363,321,,2226,1577,16239,79200,15854,55413,7933,556
6,CA,2020,39368078,174026,2203,,13449,44728,113646,842054,145529,528202,168323,11761
7,CO,2020,5807719,24570,294,,3652,3964,16660,164582,23246,110884,30452,1330
8,CT,2020,3557006,6459,140,,594,2033,3692,55670,6656,40592,8422,223
12,DE,2020,986809,4262,73,,261,700,3228,19355,2508,15182,1665,138
10,DC,2020,712816,7127,201,,311,2373,4242,24899,1964,19536,3399,207
12,FL,2020,21733312,83368,1290,,7686,13521,60871,384556,52293,293992,38271,1305
13,GA,2020,10710017,42850,943,,3420,7016,31471,214988,31139,158343,25506,651
15,HI,2020,1407006,3576,41,,569,867,2099,33928,4630,23954,5344,476
17,ID,2020,1826913,4432,41,,832,174,3385,20313,3731,14815,1767,152
18,IL,2020,12587530,53612,1151,,5090,12261,35110,196287,31020,143935,21332,1591
19,IN,2020,6754953,24161,505,,2348,4215,17093,120453,18938,86080,15435,812
16,IA,2020,3163561,9601,111,,1289,943,7258,53725,11739,35751,6235,419
20,KS,2020,2913805,12385,100,,1263,928,10094,64077,9655,47193,7229,512
21,KY,2020,4477251,11600,323,,1371,2369,7537,79673,15407,52769,11497,360
22,LA,2020,4645318,29704,734,,2136,3747,23087,133989,23698,97891,12400,450
25,ME,2020,1350141,1466,22,,486,170,788,15610,2009,12739,862,184
24,MD,2020,6055802,24215,553,,1732,7174,14756,97487,15261,71757,10469,414
23,MA,2020,6893574,21288,160,,1851,3015,16262,72602,10323,55444,6835,419
26,MI,2020,9966555,47641,754,,6065,4438,36384,135633,23231,94017,18385,1769
27,MN,2020,5657342,15698,190,,2211,3877,9420,120212,17370,88696,14146,758
29,MS,2020,2966786,8638,315,,1148,1419,5756,62351,14488,41780,6083,258
28,MO,2020,6151548,33385,723,,2661,4575,25426,155698,23300,108209,24189,1138
30,MT,2020,1080577,5077,54,,598,279,4146,22917,2919,17322,2676,165
31,NE,2020,1937552,6473,69,,1163,799,4442,36991,4455,27488,5048,150
37,NV,2020,3138259,14445,180,,1851,2785,9629,60462,11574,38332,10556,437
34,NH,2020,1366275,2000,12,,542,280,1166,15014,1412,12558,1044,145
35,NJ,2020,8882371,17353,329,,1277,4384,11363,102875,12983,79614,10278,343
36,NM,2020,2106319,16393,164,,1170,2086,12973,59859,13665,37188,9006,380
38,NY,2020,19336776,70339,808,,5468,17525,46538,272788,32003,221129,19656,997
32,NC,2020,10600823,44451,852,,2922,7340,33337,236026,49952,165554,20520,1405
33,ND,2020,765309,2518,32,,396,151,1939,16256,3196,10986,2074,108
39,OH,2020,11693217,36104,820,,5052,7826,22406,216363,37279,159007,20077,1209
40,OK,2020,3980783,18255,296,,2102,2351,13506,107705,24415,68243,15047,878
41,OR,2020,4241507,12380,125,,1565,2180,8510,112782,14386,81811,16585,1330
42,PA,2020,12783254,49793,1009,,4228,10728,33828,210167,31774,162919,15474,555
43,PR,2020,3159343,5196,529,,148,1177,3342,13241,2952,8311,1978,
44,RI,2020,1057125,2440,32,,407,336,1665,13166,1763,9894,1509,120
45,SC,2020,5218040,27691,549,,2086,3122,21934,141987,23377,103892,14718,710
46,SD,2020,892717,4476,40,,599,274,3563,17468,3036,12117,2315,97
47,TN,2020,6886834,46328,663,,2678,5575,37412,171675,26479,124098,21098,992
48,TX,2020,29360759,131084,1931,,13509,26834,88810,659160,108851,466033,84276,2969
49,UT,2020,3249879,8471,102,,1809,1362,5198,80091,9444,60359,10288,306
51,VA,2020,8590563,17925,524,,2279,2947,12175,125114,11465,102796,10853,621
53,WA,2020,7693612,22596,301,,2677,5183,14435,210223,40167,142657,27399,1342
55,WV,2020,1784787,6352,117,,832,369,5034,24976,4877,17828,2271,272
54,WI,2020,5832655,18861,308,,2020,3081,13452,86654,12744,64517,9393,571
56,WY,2020,582328,1364,18,,333,66,947,9379,1225,7190,964,53
